aalib 1.4rc5-16
kguiaddons 5.106.0-1
kholidays 1:5.106.0-1
khotkeys 5.27.5-1
ki18n 5.106.0-1
kiconthemes 5.106.0-1
kidletime 5.106.0-1
kinfocenter 5.27.5-1
kio 5.106.0-1
kio-extras 23.04.1-1
kio-fuse 5.0.1-1
kirigami2 5.106.0-1
kitemmodels 5.106.0-1
kitemviews 5.106.0-1
kitty 0.28.1-2
kitty-shell-integration 0.28.1-2
kitty-terminfo 0.28.1-2
kjobwidgets 5.106.0-1
kmenuedit 5.27.5-1
kmod 30-3
knewstuff 5.106.0-1
knotifications 5.106.0-1
knotifyconfig 5.106.0-1
kpackage 5.106.0-1
kparts 5.106.0-1
kpeople 5.106.0-1
kpipewire 5.27.5-1
kpty 5.106.0-1
kquickcharts 5.106.0-1
krb5 1.20.1-1
krunner 5.106.0-1
krusader 2.8.0-1
kscreen 5.27.5-1
kscreenlocker 5.27.5-1
kservice 5.106.0-1
ksshaskpass 5.27.5-1
ksystemstats 5.27.5-1
ktexteditor 5.106.0-1
ktextwidgets 5.106.0-1
kunitconversion 5.106.0-1
kuserfeedback 1.2.0-1
kwallet 5.106.0-1
kwallet-pam 5.27.5-1
kwayland 5.106.0-1
kwayland-integration 5.27.5-1
kwidgetsaddons 5.106.0-1
kwin 5.27.5-2
kwindowsystem 5.106.0-1
kwrited 5.27.5-1
kxmlgui 5.106.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.11.0-2
layer-shell-qt 5.27.5-1
lcms2 2.15-1
ldb 2:2.7.2-2
ldns 1.8.3-2
less 1:633-1
lib32-alsa-lib 1.2.9-1
lib32-alsa-plugins 1.2.7.1-2
lib32-amdvlk 2023.Q2.2-1
lib32-brotli 1.0.9-5
lib32-bzip2 1.0.8-3
lib32-curl 8.1.2-1
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.5.0-2
lib32-gcc-libs 13.1.1-1
lib32-glibc 2.37-3
lib32-icu 72.1-2
lib32-keyutils 1.6.3-1
lib32-krb5 1.20.1-1
lib32-libdrm 2.4.115-1
lib32-libelf 0.189-1
lib32-libffi 3.4.4-1
lib32-libglvnd 1.6.0-1
lib32-libgpg-error 1.47-1
lib32-libidn2 2.3.4-2
lib32-libldap 2.6.4-1
lib32-libpciaccess 0.17-1
lib32-libpsl 0.21.2-1
lib32-libssh2 1.10.0-2
lib32-libtasn1 4.19.0-1
lib32-libunistring 1.1-1
lib32-libunwind 1.6.2-2
lib32-libx11 1.8.4-1
lib32-libxau 1.0.11-1
lib32-libxcb 1.15-2
lib32-libxcrypt 4.4.34-1
lib32-libxdamage 1.1.6-1
lib32-libxdmcp 1.1.4-1
lib32-libxext 1.3.5-1
lib32-libxfixes 6.0.1-1
lib32-libxml2 2.10.4-4
lib32-libxshmfence 1.3.2-1
lib32-libxss 1.2.3-3
lib32-libxxf86vm 1.1.5-1
lib32-llvm-libs 15.0.7-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-2
lib32-mesa 23.1.1-1
lib32-ncurses 6.4_20230520-1
lib32-nspr 4.35-1
lib32-nss 3.90-1
lib32-openssl 1:3.0.9-1
lib32-p11-kit 0.24.1-1
lib32-sqlite 3.42.0-1
lib32-vulkan-icd-loader 1.3.245-1
lib32-wayland 1.22.0-1
lib32-xz 5.4.3-1
lib32-zlib 1.2.13-2
lib32-zstd 1.5.5-1
libaccounts-glib 1.26-2
